0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
0.075000,1882
0.080000,2044
0.085000,3237
0.090000,3693
0.095000,3290
0.100000,2688
0.105000,2453
0.110000,4210
0.115000,3889
0.120000,3510
0.125000,1670
0.130000,2305
0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
0.075000,1882
0.080000,2044
0.085000,3237
0.090000,3693
0.095000,3290
0.100000,2688
0.105000,2453
0.110000,4210
0.115000,3889
0.120000,3510
0.125000,1670
0.130000,2305
0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
0.075000,1882
0.080000,2044
0.085000,3237
0.090000,3693
0.095000,3290
0.100000,2688
0.105000,2453
0.110000,4210
0.115000,3889
0.120000,3510
0.125000,1670
0.130000,2305
0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
0.075000,1882
0.080000,2044
0.085000,3237
0.090000,3693
0.095000,3290
0.100000,2688
0.105000,2453
0.110000,4210
0.115000,3889
0.120000,3510
0.125000,1670
0.130000,2305
0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
0.075000,1882
0.080000,2044
0.085000,3237
0.090000,3693
0.095000,3290
0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
0.075000,1882
0.080000,2044
0.085000,3237
0.090000,3693
0.095000,3290
0.000000,5001
0.005000,4939
0.010000,4391
0.015000,5488
0.020000,2381
0.025000,5177
0.030000,3826
0.035000,4419
0.040000,3182
0.045000,8893
0.050000,2582
0.055000,3862
0.060000,3540
0.065000,3659
0.070000,2501
